id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;trazena_kolicina;pakovanje;jedinica_mjere;procijenjena_vrijednost;jedinicna_cijena
1;17231;27313;Cape;Loan Saudi Borders;model leverage sensor;protocol Paraguay;99512;iterate;monetize Helena;26633;80978
2;27742;30972;Rustic scalable;China;Minnesota productivity Soft;green Chair;42128;metrics Congo pink;distributed Marketing Ball;59904;1131
3;39319;21594;transmitting;pink 24/7 Texas;schemas;Ergonomic;22431;sticky withdrawal;fuchsia Balanced Associate;37840;9281
4;41185;7792;CSS;context-sensitive Factors;interface Unbranded Swaziland;Branding;28275;Indonesia generate Islands;Won Dynamic;79142;908
5;44431;3866;Licensed program Seamless;Arabia modular;Account vortals Dynamic;Man Pants Steel;76895;copying Personal;Republic Facilitator;43793;36209
6;8640;27328;Direct;Markets Seamless;Coordinator Soft workforce;mission-critical;98792;Alabama Kenyan Bedfordshire;Common deposit;26260;99308
7;17366;50650;payment;Dalasi circuit;Fish pink Inverse;Investor Mountains;32088;seize e-services;middleware Bahamian;25110;42259
8;95735;64488;Place;Account interface;Supervisor Wallis client-server;microchip;74953;COM Sports Cross-platform;fuchsia Garden maximized;64081;17564
9;36498;85525;back-end;input Associate Designer;Cotton;Corporate Account;93976;heuristic;Berkshire Administrator Investor;68457;40349
10;39435;32849;Oregon array transmitter;Greece;magenta Outdoors;Agent Factors;96287;Granite;envisioneer SQL HDD;17636;53734
