id;sifra_postupka;sifra_ponude;broj_partije;naziv_proizvodjaca;naziv_ponudjaca;zasticeni_naziv;ponudjena_vrijednost;rok_isporuke;jedinicna_cijena;selected;sifra_ponudjaca;karakteristika
1;77033;65484;74446;withdrawal Fully-configurable;Group;Ergonomic mobile engage;82343;5965;50061;true;52266;relationships
2;2408;25847;76548;Platinum multi-byte Pula;Optional Soft;Madagascar;16838;34250;1023;true;23226;AGP Implementation Trace
3;49422;63640;10510;Grocery Salad;national Turnpike Markets;Central Generic;25942;52843;82844;false;59400;incentivize exploit Maryland
4;43448;57228;15942;Accountability neural;Cotton;Chicken Avon;22429;67169;52167;false;97019;task-force Illinois
5;56711;51973;98028;Intranet Austria;Licensed Tools;GB Fields;27779;52848;17400;false;11746;cultivate reinvent
6;1216;57053;37483;Handcrafted Gorgeous;Account;Savings Cheese payment;20286;57424;837;false;11723;Metal Incredible Cambridgeshire
7;31175;79435;65008;interface Home invoice;Keyboard;International Avon utilize;21542;99819;28116;false;6803;applications
8;71509;64774;29326;task-force synergistic drive;Electronics;transmitter unleash generating;26679;77307;34108;true;60457;Cross-platform indexing
9;66636;58698;58970;Fish;connect;bypassing program Grocery;79343;30809;90184;true;28580;cohesive
10;43663;76178;44541;empower;Sausages;quantifying visualize Ergonomic;33466;80944;37173;true;36915;Response Tools
